"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-01","0.00","0.0","0.0","73","32","33","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-02","0.00","0.0","0.0","55","28","28","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-03","0.00","0.0","0.0","56","28","42","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-04","0.00","0.0","0.0","46","29","31","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-05","0.00","0.0","0.0","46","24","24","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-06","0.00","0.0","0.0","50","24","38","0.0","0.0","    1",,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-07","0.00","0.0","0.0","51","31","31","0.0","0.0","    1",,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-08","0.00","0.0","0.0","38","22","22","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-09","0.00","0.0","0.0","33","14","14","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-10","0.00","0.0","0.0","43","14","18","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-11","0.00","0.0","0.0","48","18","26","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-12","0.00","0.0","0.0","55","26","40","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-13","0.00","0.0","0.0","65","40","45","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-14","0.02","0.0","0.0","59","45","49","0.0","0.0","    1",,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-15","0.95","0.0","0.0","56","49","50","0.0","0.0","    1","    1",,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-16","1.35","0.0","0.0","54","42","44","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-17","0.00","0.0","0.0","60","36","36","0.0","0.0",,,,,,
"USC00410433","AUSTIN GREAT HILLS, TX US","2010-01-18","0.00","0.0","0.0","65","36","50","0.0","0.0",,,,,,
