"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-01","0.89",",,W"," 1210",",,X"," 1220",",,W","0.00",",,0,2400",,,,,,,"70",",,0","51",",,0","  270",",,X","  280",",,X","8.1",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-02","0.89",",,W"," 2220",",,X"," 2219",",,W","0.00",",,0,2400",,,,,,,"78",",,0","50",",,0","   10",",,X","   30",",,X","6.9",",,X","10.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-03","1.34",",,W"," 2234",",,X"," 2234",",,W","0.00",",,0,2400",,,,,,,"79",",,0","54",",,0","   20",",,X","   10",",,X","6.0",",,X","8.9",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-04","2.24",",,W"," 1533",",,X"," 1025",",,W","0.00",",,0,2400",,,,,,,"77",",,0","56",",,0","  270",",,X","   30",",,X","6.0",",,X","12.1",",,X",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-05","1.57",",,W"," 1437",",,X"," 1436",",,W","0.00",",,0,2400",,,,,,,"78",",,0","54",",,0","  270",",,X","  270",",,X","12.1",",,X","17.0",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-06","0.67",",,W"," 1540",",,X"," 1436",",,W","0.00",",,0,2400",,,,,,,"76",",,0","52",",,0","  280",",,X","  270",",,X","6.0",",,X","8.9",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-07","0.45",",,W"," 1533",",,X"," 1517",",,W","0.00",",,0,2400",,,,,,,"74",",,0","49",",,0","  270",",,X","  280",",,X","6.0",",,X","10.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-08","0.67",",,W"," 2314",",,X"," 1156",",,W","0.00",",,0,2400",,,,,,,"79",",,0","51",",,0","   10",",,X","  110",",,X","4.9",",,X","8.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-09","1.12",",,W"," 1113",",,X"," 1010",",,W","0.00",",,0,2400",,,,,,,"77",",,0","58",",,0","   20",",,X","   10",",,X","6.0",",,X","8.9",",,X",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-10","0.67",",,W"," 1346",",,X"," 1341",",,W","0.00",",,0,2400",,,,,,,"77",",,0","54",",,0","  260",",,X","  270",",,X","6.9",",,X","12.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-11","0.67",",,W"," 1521",",,X"," 1459",",,W","0.00",",,0,2400",,,,,,,"81",",,0","52",",,0","  270",",,X","  250",",,X","4.9",",,X","10.1",",,X",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-12","0.45",",,W"," 1625",",,X"," 2027",",,W","0.00",",,0,2400",,,,,,,"73",",,0","53",",,0","  270",",,X","  260",",,X","6.9",",,X","8.1",",,X","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-13","2.46",",,W"," 1639",",,X"," 1631",",,W","0.16",",,0,2400",,,,,,,"66",",,0","54",",,0","  270",",,X","  270",",,X","10.1",",,X","21.0",",,X","    1",",,W",,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-14","1.12",",,W"," 1033",",,X"," 1037",",,W","0.00",",,0,2400",,,,,,,"74",",,0","51",",,0","   90",",,X","  140",",,X","6.9",",,X","12.1",",,X",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-15","0.22",",,W"," 1321",",,X"," 1437",",,W","0.00",",,0,2400",,,,,,,"76",",,0","50",",,0","  260",",,X","  270",",,X","6.0",",,X","8.9",",,X",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","2010-01-16","0.45",",,W"," 1634",",,X"," 1555",",,W","0.00",",,0,2400",,,,,,,"71",",,0","54",",,0","  270",",,X","  270",",,X","8.1",",,X","14.1",",,X",,,,,,,,,,,,,,,,
